A_4He,E_4He,A_p,E_p
0,66.8593,0,528.915
0.062607,66.8597,0.079428,528.913
0.125212,66.8607,0.158857,528.909
0.187814,66.8623,0.238286,528.903
0.250412,66.8646,0.317715,528.894
0.313004,66.8676,0.397144,528.882
0.375588,66.8712,0.476574,528.868
0.438163,66.8754,0.556004,528.851
0.500728,66.8804,0.635435,528.831
0.563281,66.8859,0.714866,528.809
0.625821,66.8922,0.794298,528.784
0.688345,66.8991,0.873732,528.757
0.750853,66.9066,0.953166,528.727
0.813343,66.9149,1.032601,528.694
0.875814,66.9237,1.112037,528.659
0.938263,66.9332,1.191475,528.621
1.00069,66.9434,1.270914,528.58
1.063094,66.9543,1.350354,528.537
1.125472,66.9657,1.429795,528.492
1.187823,66.9779,1.509239,528.444
1.250146,66.9907,1.588684,528.393
1.312439,67.0042,1.66813,528.339
1.3747,67.0183,1.747579,528.283
1.436929,67.033,1.827029,528.224
1.499124,67.0485,1.906481,528.163
1.561283,67.0646,1.985936,528.099
1.623405,67.0813,2.065392,528.033
1.685488,67.0987,2.144851,527.964
1.747531,67.1167,2.224312,527.892
1.809532,67.1354,2.303776,527.818
1.871491,67.1548,2.383242,527.741
1.933405,67.1748,2.462711,527.661
1.995273,67.1955,2.542182,527.579
2.057093,67.2168,2.621656,527.495
2.118865,67.2387,2.701133,527.407
2.180587,67.2614,2.780613,527.317
2.242257,67.2846,2.860096,527.225
2.303874,67.3086,2.939582,527.13
2.365436,67.3331,3.019072,527.032
2.426942,67.3584,3.098564,526.932
2.488391,67.3843,3.17806,526.829
2.549781,67.4108,3.25756,526.724
2.611111,67.438,3.337063,526.616
2.672379,67.4658,3.416569,526.505
2.733584,67.4943,3.49608,526.392
2.794725,67.5235,3.575594,526.276
2.8558,67.5533,3.655112,526.158
2.916807,67.5837,3.734634,526.037
2.977746,67.6148,3.81416,525.913
3.038616,67.6465,3.89369,525.787
3.099413,67.6789,3.973225,525.659
3.160138,67.712,4.052764,525.527
3.220789,67.7457,4.132307,525.394
3.281364,67.78,4.211855,525.257
3.341862,67.815,4.291407,525.118
3.402283,67.8506,4.370964,524.977
3.462623,67.8869,4.450526,524.832
3.522883,67.9238,4.530092,524.686
3.58306,67.9614,4.609664,524.536
3.643154,67.9996,4.689241,524.385
3.703163,68.0385,4.768822,524.23
3.763086,68.078,4.848409,524.073
3.822922,68.1182,4.928001,523.914
3.882668,68.159,5.007599,523.752
3.942324,68.2004,5.087202,523.587
4.001889,68.2425,5.16681,523.42
4.061361,68.2852,5.246424,523.25
4.12074,68.3286,5.326044,523.078
4.180022,68.3726,5.40567,522.903
4.239209,68.4173,5.485301,522.725
4.298297,68.4626,5.564939,522.546
4.357286,68.5085,5.644582,522.363
4.416175,68.5551,5.724232,522.178
4.474963,68.6023,5.803888,521.99
4.533647,68.6502,5.88355,521.8
4.592228,68.6987,5.963218,521.608
4.650703,68.7478,6.042893,521.412
4.709071,68.7976,6.122575,521.215
4.767332,68.848,6.202263,521.014
4.825484,68.8991,6.281958,520.811
4.883526,68.9508,6.36166,520.606
4.941456,69.0031,6.441369,520.398
4.999274,69.0561,6.521085,520.188
5.056978,69.1097,6.600807,519.975
5.114567,69.1639,6.680537,519.759
5.17204,69.2188,6.760275,519.541
5.229396,69.2743,6.840019,519.321
5.286634,69.3304,6.919771,519.098
5.343752,69.3872,6.999531,518.872
5.400749,69.4446,7.079298,518.644
5.457625,69.5026,7.159072,518.414
5.514378,69.5613,7.238855,518.181
5.571006,69.6206,7.318645,517.945
5.62751,69.6805,7.398444,517.707
5.683887,69.741,7.47825,517.467
5.740138,69.8022,7.558064,517.224
5.796259,69.864,7.637887,516.978
5.852251,69.9265,7.717718,516.73
5.908113,69.9895,7.797557,516.48
5.963843,70.0532,7.877405,516.227
6.019441,70.1175,7.957261,515.971
6.074904,70.1825,8.037126,515.713
6.130233,70.248,8.117,515.453
6.185426,70.3142,8.196882,515.19
6.240483,70.381,8.276773,514.924
6.295401,70.4485,8.356674,514.656
6.350181,70.5165,8.436583,514.386
6.404821,70.5852,8.516501,514.113
6.459321,70.6545,8.596429,513.838
6.513678,70.7244,8.676366,513.56
6.567893,70.7949,8.756312,513.28
6.621964,70.8661,8.836268,512.997
6.67589,70.9378,8.916233,512.712
6.729671,71.0102,8.996208,512.425
6.783305,71.0832,9.076193,512.135
6.836792,71.1569,9.156187,511.842
6.89013,71.2311,9.236191,511.547
6.943319,71.3059,9.316206,511.25
6.996358,71.3814,9.39623,510.95
7.049246,71.4575,9.476265,510.648
7.101982,71.5341,9.556309,510.343
7.154564,71.6114,9.636364,510.036
7.206993,71.6893,9.71643,509.727
7.259268,71.7679,9.796506,509.415
7.311387,71.847,9.876592,509.101
7.36335,71.9267,9.95669,508.784
7.415155,72.007,10.036798,508.465
7.466802,72.088,10.116916,508.143
7.518291,72.1695,10.197046,507.819
7.56962,72.2517,10.277187,507.493
7.620789,72.3344,10.357338,507.164
7.671796,72.4178,10.437501,506.833
7.722642,72.5018,10.517675,506.499
7.773324,72.5863,10.597861,506.163
7.823843,72.6715,10.678058,505.825
7.874198,72.7573,10.758266,505.484
7.924388,72.8436,10.838486,505.141
7.974411,72.9306,10.918718,504.796
8.024269,73.0181,10.998961,504.448
8.073959,73.1063,11.079216,504.098
8.123481,73.195,11.159483,503.745
8.172834,73.2844,11.239762,503.39
8.222018,73.3743,11.320054,503.033
8.271031,73.4648,11.400357,502.673
8.319874,73.556,11.480673,502.311
8.368546,73.6477,11.561,501.947
8.417045,73.74,11.641341,501.58
8.465372,73.8329,11.721694,501.211
8.513525,73.9264,11.802059,500.84
8.561504,74.0204,11.882437,500.466
8.609308,74.1151,11.962828,500.09
8.656937,74.2103,12.043232,499.712
8.70439,74.3061,12.123648,499.331
8.751667,74.4025,12.204078,498.948
8.798766,74.4995,12.284521,498.563
8.845687,74.5971,12.364976,498.175
8.892431,74.6953,12.445445,497.786
8.938995,74.794,12.525928,497.393
8.98538,74.8933,12.606424,496.999
9.031584,74.9932,12.686933,496.602
9.077609,75.0936,12.767456,496.203
9.123452,75.1947,12.847992,495.802
9.169113,75.2963,12.928543,495.398
9.214592,75.3985,13.009107,494.992
9.259889,75.5012,13.089685,494.584
9.305002,75.6046,13.170277,494.173
9.349931,75.7085,13.250883,493.76
9.394677,75.813,13.331503,493.345
9.439237,75.918,13.412138,492.928
9.483613,76.0236,13.492787,492.509
9.527803,76.1298,13.57345,492.087
9.571807,76.2365,13.654128,491.663
9.615624,76.3438,13.73482,491.236
9.659254,76.4517,13.815527,490.808
9.702697,76.5601,13.896249,490.377
9.745952,76.6691,13.976985,489.944
9.789019,76.7787,14.057737,489.509
9.831897,76.8888,14.138503,489.071
9.874586,76.9995,14.219284,488.632
9.917086,77.1107,14.300081,488.19
9.959396,77.2225,14.380893,487.746
10.001515,77.3348,14.46172,487.3
10.043444,77.4477,14.542562,486.851
10.085182,77.5612,14.62342,486.4
10.126729,77.6752,14.704294,485.948
10.168084,77.7897,14.785183,485.493
10.209247,77.9048,14.866088,485.035
10.250217,78.0204,14.947008,484.576
10.290995,78.1366,15.027945,484.114
10.33158,78.2534,15.108897,483.651
10.371972,78.3706,15.189866,483.185
10.41217,78.4885,15.27085,482.717
10.452175,78.6068,15.351851,482.246
10.491985,78.7257,15.432868,481.774
10.5316,78.8452,15.513902,481.3
10.571021,78.9652,15.594952,480.823
10.610247,79.0857,15.676018,480.344
10.649278,79.2068,15.757101,479.863
10.688113,79.3284,15.838201,479.38
10.726753,79.4505,15.919317,478.895
10.765196,79.5731,16.000451,478.408
10.803444,79.6963,16.081601,477.918
10.841495,79.8201,16.162768,477.427
10.879349,79.9443,16.243953,476.933
10.917006,80.0691,16.325154,476.437
10.954467,80.1944,16.406373,475.94
10.99173,80.3202,16.487609,475.44
11.028796,80.4466,16.568862,474.938
11.065664,80.5735,16.650133,474.434
11.102334,80.7009,16.731422,473.928
11.138807,80.8288,16.812728,473.419
11.175081,80.9572,16.894052,472.909
11.211157,81.0862,16.975394,472.397
11.247035,81.2157,17.056753,471.883
11.282714,81.3457,17.138131,471.366
11.318195,81.4762,17.219526,470.848
11.353476,81.6072,17.30094,470.327
11.388559,81.7387,17.382372,469.805
11.423443,81.8707,17.463822,469.28
11.458128,82.0033,17.54529,468.754
11.492613,82.1363,17.626777,468.225
11.526899,82.2699,17.708283,467.694
11.560986,82.404,17.789807,467.162
11.594873,82.5385,17.87135,466.627
11.628561,82.6736,17.952911,466.091
11.662049,82.8092,18.034491,465.552
11.695337,82.9453,18.116091,465.012
11.728426,83.0818,18.197709,464.469
11.761315,83.2189,18.279346,463.925
11.794003,83.3565,18.361002,463.378
11.826493,83.4945,18.442678,462.83
11.858782,83.6331,18.524373,462.279
11.890871,83.7721,18.606087,461.727
11.92276,83.9117,18.687821,461.172
11.954449,84.0517,18.769574,460.616
11.985939,84.1922,18.851347,460.058
12.017228,84.3332,18.93314,459.498
12.048317,84.4747,19.014952,458.936
12.079206,84.6166,19.096784,458.372
12.109896,84.7591,19.178636,457.806
12.140385,84.902,19.260508,457.238
12.170675,85.0454,19.3424,456.669
12.200764,85.1893,19.424313,456.097
12.230654,85.3336,19.506245,455.524
12.260344,85.4785,19.588198,454.948
12.289834,85.6238,19.670171,454.371
12.319124,85.7695,19.752165,453.792
12.348215,85.9158,19.834179,453.211
12.377106,86.0625,19.916214,452.628
12.405798,86.2097,19.998269,452.043
12.43429,86.3573,20.080346,451.457
12.462583,86.5055,20.162443,450.868
12.490676,86.654,20.244561,450.278
12.518571,86.8031,20.3267,449.686
12.546266,86.9526,20.40886,449.092
12.573762,87.1025,20.491041,448.496
12.601059,87.2529,20.573243,447.899
12.628157,87.4038,20.655467,447.3
12.655057,87.5551,20.737712,446.698
12.681758,87.7069,20.819978,446.095
12.708261,87.8591,20.902266,445.491
12.734565,88.0118,20.984576,444.884
12.760671,88.1649,21.066907,444.276
12.786579,88.3185,21.14926,443.666
12.812289,88.4725,21.231635,443.054
12.837801,88.627,21.314032,442.44
12.863116,88.7819,21.39645,441.825
12.888233,88.9373,21.478891,441.208
12.913152,89.093,21.561354,440.589
12.937875,89.2493,21.643839,439.968
12.9624,89.4059,21.726346,439.346
12.986729,89.563,21.808876,438.722
13.010861,89.7205,21.891428,438.096
13.034796,89.8785,21.974002,437.469
13.058535,90.0369,22.056599,436.839
13.082078,90.1957,22.139219,436.209
13.105425,90.3549,22.221861,435.576
13.128576,90.5146,22.304527,434.942
13.151532,90.6747,22.387215,434.306
13.174292,90.8352,22.469926,433.668
13.196857,90.9961,22.55266,433.029
13.219227,91.1575,22.635417,432.388
13.241402,91.3193,22.718197,431.745
13.263383,91.4814,22.801,431.101
13.28517,91.644,22.883827,430.455
13.306762,91.8071,22.966677,429.807
13.328161,91.9705,23.04955,429.158
13.349366,92.1343,23.132447,428.507
13.370377,92.2986,23.215368,427.855
13.391196,92.4632,23.298312,427.201
13.411821,92.6282,23.38128,426.545
13.432254,92.7937,23.464272,425.888
13.452494,92.9595,23.547287,425.229
13.472542,93.1258,23.630327,424.568
13.492398,93.2925,23.71339,423.906
13.512063,93.4595,23.796478,423.243
13.531536,93.6269,23.87959,422.578
13.550818,93.7948,23.962726,421.911
13.569909,93.963,24.045886,421.243
13.588809,94.1316,24.12907,420.573
13.607519,94.3006,24.212279,419.901
13.626039,94.47,24.295513,419.228
13.64437,94.6398,24.378771,418.554
13.66251,94.8099,24.462054,417.878
13.680462,94.9805,24.545361,417.201
13.698224,95.1514,24.628694,416.522
13.715798,95.3227,24.712051,415.841
13.733183,95.4943,24.795433,415.159
13.75038,95.6664,24.87884,414.476
13.76739,95.8388,24.962272,413.791
13.784212,96.0116,25.045729,413.104
13.800847,96.1848,25.129211,412.416
13.817295,96.3583,25.212719,411.727
13.833556,96.5322,25.296252,411.036
13.849631,96.7064,25.379811,410.344
13.86552,96.881,25.463395,409.65
13.881224,97.056,25.547004,408.955
13.896742,97.2314,25.630639,408.259
13.912075,97.407,25.7143,407.561
13.927223,97.5831,25.797986,406.861
13.942187,97.7595,25.881699,406.161
13.956967,97.9363,25.965437,405.458
13.971564,98.1134,26.049201,404.755
13.985977,98.2908,26.132991,404.05
14.000206,98.4686,26.216807,403.343
14.014254,98.6468,26.30065,402.636
14.028118,98.8253,26.384518,401.927
14.041801,99.0041,26.468413,401.216
14.055302,99.1833,26.552334,400.505
14.068622,99.3628,26.636282,399.791
14.08176,99.5426,26.720256,399.077
14.094718,99.7228,26.804257,398.361
14.107496,99.9033,26.888284,397.644
14.120093,100.084,26.972338,396.926
14.132511,100.265,27.056419,396.206
14.14475,100.447,27.140527,395.485
14.15681,100.629,27.224661,394.763
14.168691,100.811,27.308822,394.039
14.180394,100.993,27.393011,393.314
14.191919,101.176,27.477226,392.588
14.203267,101.359,27.561469,391.861
14.214437,101.543,27.645739,391.132
14.225431,101.726,27.730036,390.402
14.236249,101.91,27.81436,389.671
14.24689,102.095,27.898712,388.938
14.257356,102.279,27.983091,388.205
14.267646,102.464,28.067498,387.47
14.277762,102.65,28.151933,386.734
14.287703,102.835,28.236395,385.996
14.297469,103.021,28.320884,385.258
14.307062,103.207,28.405402,384.518
14.316482,103.394,28.489947,383.777
14.325729,103.581,28.574521,383.035
14.334803,103.768,28.659122,382.292
14.343704,103.955,28.743751,381.548
14.352434,104.143,28.828408,380.802
14.360992,104.331,28.913094,380.056
14.36938,104.519,28.997808,379.308
14.377596,104.707,29.08255,378.559
14.385642,104.896,29.16732,377.809
14.393518,105.085,29.252119,377.058
14.401225,105.275,29.336946,376.305
14.408762,105.464,29.421802,375.552
14.416131,105.654,29.506686,374.797
14.423331,105.845,29.591599,374.042
14.430363,106.035,29.676541,373.285
14.437228,106.226,29.761511,372.527
14.443925,106.417,29.846511,371.769
14.450456,106.608,29.931539,371.009
14.45682,106.8,30.016596,370.248
14.463018,106.991,30.101682,369.486
14.469051,107.183,30.186797,368.723
14.474918,107.376,30.271942,367.959
14.48062,107.568,30.357115,367.194
14.486158,107.761,30.442318,366.428
14.491533,107.954,30.52755,365.661
14.496743,108.148,30.612811,364.893
14.50179,108.341,30.698102,364.124
14.506675,108.535,30.783423,363.353
14.511397,108.729,30.868772,362.582
14.515957,108.923,30.954152,361.81
14.520355,109.118,31.039561,361.038
14.524592,109.313,31.125,360.264
14.528669,109.508,31.210468,359.489
14.532585,109.703,31.295967,358.713
14.536341,109.899,31.381495,357.936
14.539938,110.094,31.467053,357.159
14.543375,110.29,31.552641,356.38
14.546654,110.487,31.638259,355.601
14.549774,110.683,31.723908,354.82
14.552737,110.88,31.809586,354.039
14.555542,111.077,31.895295,353.257
14.55819,111.274,31.981034,352.474
14.560681,111.471,32.066803,351.69
14.563016,111.669,32.152603,350.905
14.565195,111.866,32.238433,350.12
14.567219,112.064,32.324294,349.333
14.569087,112.263,32.410185,348.546
14.570801,112.461,32.496106,347.758
14.572361,112.66,32.582059,346.969
14.573767,112.858,32.668042,346.179
14.57502,113.057,32.754056,345.388
14.576119,113.257,32.8401,344.597
14.577067,113.456,32.926176,343.805
14.577862,113.656,33.012282,343.012
14.578505,113.855,33.09842,342.218
14.578997,114.055,33.184588,341.424
14.579338,114.255,33.270788,340.629
14.579529,114.456,33.357019,339.833
14.579569,114.656,33.44328,339.036
14.57946,114.857,33.529573,338.238
14.579202,115.058,33.615898,337.44
14.578795,115.259,33.702253,336.641
14.57824,115.46,33.788641,335.842
14.577536,115.662,33.875059,335.041
14.576685,115.864,33.961509,334.24
14.575687,116.065,34.047991,333.439
14.574543,116.267,34.134504,332.636
14.573251,116.469,34.221048,331.833
14.571814,116.672,34.307625,331.029
14.570232,116.874,34.394233,330.225
14.568505,117.077,34.480873,329.42
14.566632,117.28,34.567545,328.614
14.564616,117.483,34.654248,327.808
14.562456,117.686,34.740984,327.001
14.560152,117.889,34.827751,326.194
14.557706,118.093,34.914551,325.385
14.555117,118.296,35.001383,324.577
14.552385,118.5,35.088246,323.767
14.549512,118.704,35.175142,322.957
14.546498,118.908,35.262071,322.147
14.543343,119.112,35.349031,321.336
14.540047,119.316,35.436024,320.524
14.536611,119.521,35.523049,319.712
14.533036,119.725,35.610106,318.899
14.529321,119.93,35.697196,318.086
14.525468,120.135,35.784319,317.272
14.521476,120.34,35.871474,316.458
14.517346,120.545,35.958661,315.643
14.513078,120.75,36.045881,314.827
14.508674,120.956,36.133134,314.012
14.504132,121.161,36.22042,313.195
14.499455,121.367,36.307738,312.378
14.494641,121.572,36.395089,311.561
14.489692,121.778,36.482473,310.743
14.484607,121.984,36.56989,309.925
14.479388,122.19,36.65734,309.106
14.474035,122.397,36.744822,308.287
14.468547,122.603,36.832338,307.468
14.462927,122.809,36.919887,306.648
14.457173,123.016,37.007469,305.827
14.451287,123.222,37.095084,305.007
14.445268,123.429,37.182732,304.186
14.439117,123.636,37.270414,303.364
14.432835,123.843,37.358129,302.542
14.426422,124.05,37.445877,301.72
14.419879,124.257,37.533658,300.897
14.413205,124.464,37.621473,300.074
14.406401,124.671,37.709321,299.25
14.399468,124.879,37.797203,298.427
14.392406,125.086,37.885118,297.603
14.385216,125.294,37.973067,296.778
14.377897,125.501,38.061049,295.953
14.370451,125.709,38.149065,295.128
14.362877,125.917,38.237115,294.303
14.355176,126.125,38.325198,293.477
14.347349,126.333,38.413315,292.651
14.339395,126.541,38.501466,291.825
14.331316,126.749,38.589651,290.999
14.323111,126.957,38.677869,290.172
14.314781,127.165,38.766121,289.345
14.306327,127.373,38.854408,288.518
14.297749,127.581,38.942728,287.69
14.289047,127.79,39.031082,286.862
14.280221,127.998,39.11947,286.034
14.271273,128.207,39.207893,285.206
14.262202,128.415,39.296349,284.378
14.253008,128.624,39.38484,283.549
14.243693,128.832,39.473365,282.721
14.234257,129.041,39.561924,281.892
14.2247,129.25,39.650517,281.063
14.215022,129.458,39.739144,280.233
14.205224,129.667,39.827806,279.404
14.195306,129.876,39.916502,278.574
14.185268,130.085,40.005232,277.745
14.175112,130.294,40.093997,276.915
14.164837,130.503,40.182797,276.085
14.154444,130.712,40.27163,275.255
14.143933,130.921,40.360499,274.425
14.133304,131.13,40.449401,273.594
14.122559,131.339,40.538339,272.764
14.111696,131.548,40.62731,271.934
14.100718,131.757,40.716317,271.103
14.089623,131.966,40.805358,270.273
14.078414,132.175,40.894434,269.442
14.067088,132.384,40.983545,268.611
14.055649,132.593,41.07269,267.78
14.044094,132.802,41.16187,266.95
14.032426,133.011,41.251085,266.119
14.020644,133.221,41.340334,265.288
