A_4He,E_4He,A_p,E_p
0,0,51.7301,194.889
0,0,51.8294,193.929
0,0,51.9287,192.97
0,0,52.028,192.013
0,0,52.1273,191.058
0,0,52.2265,190.105
0,0,52.3258,189.153
0,0,52.4251,188.203
0,0,52.5243,187.255
0,0,52.6235,186.309
0,0,52.7228,185.365
0,0,52.822,90.9691
0,0,52.9212,90.3096
0,0,53.0204,89.8715
0,0,53.1197,89.22
0,0,53.2189,88.7926
0,0,53.3181,88.1502
0,0,53.4173,87.7338
0,0,53.5166,87.1006
0,0,53.6158,86.6969
0,0,53.7149,86.0743
0,0,53.8141,85.6827
0,0,53.9133,85.0712
0,0,54.0125,84.4646
0,0,54.1117,84.0923
0,0,54.2108,83.4971
0,0,54.31,83.1375
0,0,54.4092,82.5541
0,0,54.5083,82.2052
0,0,54.6075,81.597
0,0,54.7066,81.2292
0,0,54.8057,80.6341
0,0,54.9048,80.2815
0,0,55.004,79.7017
0,0,55.1031,79.4015
0,0,55.2022,78.87
0,0,55.3013,78.3452
0,0,55.4004,78.0669
0,0,55.4995,77.5539
0,0,55.5986,77.2904
0,0,55.6977,76.7903
0,0,55.7968,76.5421
0,0,55.8959,76.0557
0,0,55.9949,75.8227
0,0,56.094,75.3502
0,0,56.1931,75.1328
0,0,56.2922,74.6742
0,0,56.3912,74.472
0,0,56.4903,74.0271
0,0,56.5893,73.5882
0,0,56.6884,73.409
0,0,56.7874,72.9857
0,0,56.8864,72.8251
0,0,56.9854,72.4187
0,0,57.0844,72.2749
0,0,57.1834,71.8848
0,0,57.2824,71.7589
0,0,57.3814,71.3851
0,0,57.4804,71.2774
0,0,57.5793,70.8873
0,0,57.6783,70.7561
0,0,57.7772,70.3752
0,0,57.8761,70.0018
0,0,57.9751,69.8982
0,0,58.074,69.5706
0,0,58.1729,69.5232
0,0,58.2719,69.2228
0,0,58.3708,69.194
0,0,58.4697,68.9102
0,0,58.5686,68.8987
0,0,58.6675,68.6318
0,0,58.7664,68.6383
0,0,58.8653,68.3885
0,0,58.9642,68.4121
0,0,59.0631,68.1783
0,0,59.1619,68.2194
0,0,59.2608,68.0032
0,0,59.3596,68.062
0,0,59.4585,67.8642
0,0,59.5573,67.6507
0,0,59.6561,67.6955
0,0,59.7548,67.4814
0,0,59.8536,67.5442
0,0,59.9524,67.3489
0,0,60.0512,67.4515
0,0,60.1499,67.3137
0,0,60.2487,67.4532
0,0,60.3474,67.334
0,0,60.4462,67.4917
0,0,60.5449,67.3898
0,0,60.6436,67.5646
0,0,60.7423,67.4804
0,0,60.8411,67.6729
0,0,60.9398,67.6058
0,0,61.0385,67.8148
0,0,61.1372,67.7655
0,0,61.2358,67.9909
0,0,61.3345,67.9575
0,0,61.4332,68.1997
0,0,61.5319,68.1838
0,0,61.6305,68.4404
0,0,61.7291,68.4415
0,0,61.8277,68.7156
0,0,61.9263,68.7332
0,0,62.0249,68.7493
0,0,62.1234,69.0058
0,0,62.2219,69.0077
0,0,62.3204,69.2818
0,0,62.4189,69.3008
0,0,62.5174,69.5978
0,0,62.6159,69.6724
0,0,62.7144,70.0163
0,0,62.8129,70.1069
0,0,62.9114,70.4659
0,0,63.0099,70.5722
0,0,63.1084,70.944
0,0,63.2068,71.0643
0,0,63.3053,71.4498
0,0,63.4037,71.5851
0,0,63.5022,71.9831
0,0,63.6005,72.093
0,0,63.6987,72.4656
0,0,63.797,72.5904
0,0,63.8953,72.9764
0,0,63.9936,73.1157
0,0,64.0919,73.5486
0,0,64.1902,73.7387
0,0,64.2885,74.1871
0,0,64.3868,74.3914
0,0,64.4852,74.852
0,0,64.5834,75.0685
0,0,64.6816,84.7566
0,0,64.7798,84.0572
0,0,64.878,83.3602
0,0,64.9762,82.6655
0,0,65.0743,81.9457
0,0,65.1723,81.2195
0,0,65.2703,80.4956
0,0,65.3684,79.7741
0,0,65.4664,79.055
0,0,65.5644,78.3602
0,0,65.6625,77.6794
0,0,65.7605,77.0009
0,0,65.8585,76.3248
0,0,65.9566,75.6511
0,0,66.0546,74.9792
0,0,66.1525,74.3093
0,0,66.2504,73.6417
0,0,66.3484,72.9765
0,0,66.4463,72.3138
0,0,66.5442,71.6352
0,0,66.6419,70.937
0,0,66.7395,70.2412
0,0,66.8372,69.5478
0,0,66.9349,68.8568
0,0,67.0326,68.181
0,0,67.1303,67.5328
0,0,67.228,66.887
0,0,67.3257,66.2437
0,0,67.4234,65.6028
0,0,67.521,64.954
0,0,67.6184,64.2703
0,0,67.7159,63.589
0,0,67.8133,62.9102
0,0,67.9107,62.2337
0,0,68.0081,61.5628
0,0,68.1055,60.9287
0,0,68.2029,60.2969
0,0,68.3003,59.6677
0,0,68.3976,59.0409
0,0,68.495,58.4165
0,0,68.5923,57.7937
0,0,68.6895,57.1732
0,0,68.7867,56.5552
0,0,68.8839,55.9396
0,0,68.9811,55.3264
0,0,69.078,54.6746
0,0,69.1749,54.0154
0,0,69.2717,53.3586
0,0,69.3685,52.7042
0,0,69.4653,52.0522
0,0,69.5622,51.4315
0,0,69.659,50.8294
0,0,69.7558,50.2297
0,0,69.8526,49.6324
0,0,69.9495,49.0376
0,0,70.046,48.4161
0,0,70.1423,47.7652
0,0,70.2385,47.1166
0,0,70.3347,46.4705
0,0,70.431,45.8269
0,0,70.5271,45.182
0,0,70.623,44.5304
0,0,70.7188,43.8812
0,0,70.8147,43.2344
0,0,70.9106,42.59
0,0,71.0064,41.9514
0,0,71.1022,41.3614
0,0,71.1981,40.7739
0,0,71.2939,40.1889
0,0,71.3897,39.6063
0,0,71.4855,39.0262
0,0,71.5806,38.3893
0,0,71.6755,37.7442
0,0,71.7705,37.1015
0,0,71.8654,36.4612
0,0,71.9603,35.8233
0,0,72.0552,35.2208
0,0,72.1501,34.6442
0,0,72.245,34.0699
