p_theta,he6_theta
0.0389987,0.0185639
0.0779974,0.0371278
0.116996,0.0556913
0.155995,0.0742549
0.194994,0.0928178
0.233993,0.111381
0.272992,0.129943
0.311991,0.148505
0.35099,0.167065
0.389989,0.185626
0.428988,0.204185
0.467988,0.222744
0.506988,0.241301
0.545987,0.259858
0.584987,0.278412
0.623987,0.296967
0.662988,0.315519
0.701988,0.334071
0.740989,0.35262
0.77999,0.371169
0.818991,0.389715
0.857993,0.408261
0.896995,0.426803
0.935996,0.445345
0.974999,0.463883
1.014,0.482421
1.053,0.500955
1.09201,0.519489
1.13101,0.538018
1.17002,0.556548
1.20902,0.575072
1.24802,0.593596
1.28703,0.612116
1.32603,0.630635
1.36504,0.649148
1.40405,0.667662
1.44305,0.686169
1.48206,0.704677
1.52107,0.723178
1.56008,0.74168
1.59908,0.760174
1.63809,0.778669
1.6771,0.797157
1.71611,0.815645
1.75512,0.834125
1.79413,0.852606
1.83315,0.871079
1.87216,0.889552
1.91117,0.908017
1.95018,0.926483
1.9892,0.94494
2.02821,0.963397
2.06723,0.981845
2.10624,1.00029
2.14526,1.01873
2.18428,1.03717
2.2233,1.0556
2.26231,1.07403
2.30133,1.09245
2.34035,1.11088
2.37937,1.12929
2.4184,1.1477
2.45742,1.1661
2.49644,1.1845
2.53546,1.20289
2.57449,1.22128
2.61351,1.23966
2.65254,1.25804
2.69157,1.27641
2.73059,1.29478
2.76962,1.31313
2.80865,1.33149
2.84768,1.34984
2.88671,1.36818
2.92575,1.38652
2.96478,1.40485
3.00381,1.42317
3.04285,1.44149
3.08188,1.4598
3.12092,1.47811
3.15996,1.4964
3.19899,1.5147
3.23803,1.53298
3.27707,1.55126
3.31612,1.56953
3.35516,1.5878
3.3942,1.60605
3.43325,1.62431
3.47229,1.64255
3.51134,1.66079
3.55039,1.67901
3.58943,1.69724
3.62849,1.71545
3.66754,1.73366
3.70659,1.75185
3.74564,1.77005
3.7847,1.78823
3.82375,1.80641
3.86281,1.82457
3.90187,1.84273
3.94093,1.86088
3.97999,1.87903
4.01905,1.89716
4.05811,1.91529
4.09717,1.9334
4.13624,1.95152
4.17531,1.96961
4.21437,1.98771
4.25344,2.00579
4.29251,2.02387
4.33159,2.04193
4.37066,2.05999
4.40973,2.07804
4.44881,2.09608
4.48789,2.11411
4.52696,2.13213
4.56604,2.15014
4.60513,2.16815
4.64421,2.18613
4.68329,2.20412
4.72238,2.22209
4.76146,2.24006
4.80055,2.25801
4.83964,2.27595
4.87874,2.29388
4.91783,2.31181
4.95692,2.32972
4.99602,2.34763
5.03512,2.36552
5.07421,2.38341
5.11332,2.40127
5.15242,2.41914
5.19152,2.43699
5.23063,2.45483
5.26973,2.47266
5.30884,2.49048
5.34795,2.50829
5.38706,2.52609
5.42618,2.54387
5.46529,2.56165
5.50441,2.57941
5.54353,2.59717
5.58265,2.61491
5.62177,2.63264
5.66089,2.65036
5.70002,2.66807
5.73915,2.68576
5.77827,2.70345
5.81741,2.72112
5.85654,2.73879
5.89567,2.75643
5.93481,2.77407
5.97395,2.79169
6.01309,2.80931
6.05223,2.8269
6.09137,2.8445
6.13052,2.86207
6.16966,2.87964
6.20881,2.89718
6.24796,2.91473
6.28712,2.93225
6.32627,2.94977
6.36543,2.96726
6.40458,2.98476
6.44375,3.00223
6.48291,3.0197
6.52207,3.03714
6.56124,3.05458
6.60041,3.072
6.63958,3.08941
6.67875,3.1068
6.71793,3.12419
6.7571,3.14156
6.79628,3.15892
6.83546,3.17625
6.87464,3.19359
6.91383,3.2109
6.95302,3.22821
6.99221,3.24549
7.0314,3.26277
7.07059,3.28002
7.10979,3.29727
7.14898,3.31449
7.18818,3.33172
7.22739,3.34891
7.26659,3.36611
7.3058,3.38328
7.34501,3.40044
7.38422,3.41758
7.42343,3.43472
7.46265,3.45183
7.50186,3.46893
7.54108,3.48601
7.58031,3.50309
7.61953,3.52014
7.65876,3.53719
7.69799,3.55421
7.73722,3.57122
7.77645,3.58821
7.81569,3.6052
7.85493,3.62216
7.89417,3.63911
7.93342,3.65604
7.97266,3.67297
8.01191,3.68986
8.05116,3.70675
8.09041,3.72362
8.12967,3.74048
8.16893,3.75731
8.20819,3.77414
8.24745,3.79094
8.28672,3.80774
8.32599,3.82451
8.36526,3.84128
8.40453,3.85801
8.44381,3.87475
8.48309,3.89145
8.52237,3.90815
8.56165,3.92482
8.60094,3.94149
8.64023,3.95812
8.67952,3.97476
8.71881,3.99136
8.75811,4.00796
8.79741,4.02453
8.83671,4.0411
8.87602,4.05763
8.91532,4.07416
8.95464,4.09066
8.99395,4.10716
9.03327,4.12363
9.07258,4.14009
9.11191,4.15652
9.15123,4.17295
9.19056,4.18935
9.22989,4.20574
9.26922,4.2221
9.30855,4.23846
9.34789,4.25479
9.38723,4.27111
9.42658,4.2874
9.46592,4.30369
9.50528,4.31994
9.54463,4.33619
9.58398,4.35241
9.62334,4.36863
9.6627,4.38481
9.70207,4.40099
9.74144,4.41713
9.7808,4.43327
9.82018,4.44938
9.85955,4.46548
9.89893,4.48155
9.93832,4.49762
9.9777,4.51365
10.0171,4.52968
10.0565,4.54568
10.0959,4.56167
10.1353,4.57763
10.1747,4.59358
10.2141,4.6095
10.2535,4.62542
10.2929,4.6413
10.3323,4.65718
10.3717,4.67302
10.4111,4.68886
10.4506,4.70466
10.49,4.72046
10.5294,4.73623
10.5688,4.75199
10.6083,4.76771
10.6477,4.78344
10.6872,4.79912
10.7266,4.8148
10.7661,4.83045
10.8055,4.84609
10.845,4.8617
10.8844,4.8773
10.9239,4.89287
10.9633,4.90843
11.0028,4.92396
11.0423,4.93948
11.0818,4.95497
11.1212,4.97045
11.1607,4.98589
11.2002,5.00134
11.2397,5.01674
11.2792,5.03214
11.3187,5.0475
11.3582,5.06286
11.3977,5.07818
11.4372,5.0935
11.4767,5.10878
11.5162,5.12406
11.5557,5.13929
11.5952,5.15453
11.6348,5.16972
11.6743,5.18492
11.7138,5.20007
11.7534,5.21522
11.7929,5.23033
11.8324,5.24544
11.872,5.26051
11.9115,5.27558
11.9511,5.2906
11.9906,5.30563
12.0302,5.32061
12.0697,5.33559
12.1093,5.35053
12.1489,5.36547
12.1885,5.38036
12.228,5.39526
12.2676,5.41011
12.3072,5.42496
12.3468,5.43977
12.3864,5.45458
12.426,5.46934
12.4656,5.48411
12.5052,5.49883
12.5448,5.51355
12.5844,5.52822
12.624,5.5429
12.6636,5.55753
12.7032,5.57216
12.7429,5.58675
12.7825,5.60133
12.8221,5.61587
12.8618,5.63042
12.9014,5.64491
12.9411,5.65941
12.9807,5.67386
13.0204,5.68831
13.06,5.70272
13.0997,5.71713
13.1393,5.73149
13.179,5.74585
13.2187,5.76016
13.2584,5.77448
13.298,5.78875
13.3377,5.80302
13.3774,5.81724
13.4171,5.83146
13.4568,5.84564
13.4965,5.85982
13.5362,5.87395
13.5759,5.88808
13.6156,5.90216
13.6553,5.91625
13.6951,5.93029
13.7348,5.94432
13.7745,5.95832
13.8143,5.97231
13.854,5.98625
13.8937,6.00019
13.9335,6.01409
13.9732,6.02799
14.013,6.04184
14.0527,6.05569
14.0925,6.06949
14.1323,6.08329
14.172,6.09704
14.2118,6.1108
14.2516,6.1245
14.2914,6.13821
14.3312,6.15187
14.371,6.16553
14.4108,6.17914
14.4506,6.19275
14.4904,6.20631
14.5302,6.21987
14.57,6.23339
14.6098,6.2469
14.6496,6.26037
14.6895,6.27383
14.7293,6.28725
14.7691,6.30066
14.809,6.31403
14.8488,6.3274
14.8887,6.34072
14.9285,6.35404
14.9684,6.36731
15.0082,6.38058
15.0481,6.3938
15.088,6.40702
15.1279,6.42019
15.1677,6.43336
15.2076,6.44648
15.2475,6.4596
15.2874,6.47268
15.3273,6.48575
15.3672,6.49877
15.4071,6.51179
15.447,6.52477
15.487,6.53774
15.5269,6.55066
15.5668,6.56358
15.6067,6.57645
15.6467,6.58933
15.6866,6.60215
15.7266,6.61497
15.7665,6.62774
15.8065,6.64051
15.8464,6.65324
15.8864,6.66596
15.9264,6.67863
15.9663,6.6913
16.0063,6.70392
16.0463,6.71654
16.0863,6.72911
16.1263,6.74167
16.1663,6.75419
16.2063,6.76671
16.2463,6.77918
16.2863,6.79164
16.3263,6.80406
16.3664,6.81647
16.4064,6.82884
16.4464,6.8412
16.4864,6.85351
16.5265,6.86583
16.5665,6.87809
16.6066,6.89035
16.6466,6.90256
16.6867,6.91477
16.7268,6.92693
16.7668,6.93908
16.8069,6.95119
16.847,6.96329
16.8871,6.97535
16.9272,6.9874
16.9673,6.9994
17.0074,7.01141
17.0475,7.02335
17.0876,7.0353
17.1277,7.0472
17.1678,7.0591
17.208,7.07094
17.2481,7.08279
17.2882,7.09458
17.3284,7.10637
17.3685,7.11811
17.4087,7.12985
17.4488,7.14154
17.489,7.15323
17.5292,7.16486
17.5693,7.17649
17.6095,7.18808
17.6497,7.19966
17.6899,7.21119
17.7301,7.22271
17.7703,7.23419
17.8105,7.24567
17.8507,7.25709
17.8909,7.26851
17.9312,7.27988
17.9714,7.29125
18.0116,7.30256
18.0518,7.31388
18.0921,7.32514
18.1323,7.3364
18.1726,7.34761
18.2128,7.35882
18.2531,7.36998
18.2934,7.38113
18.3337,7.39223
18.3739,7.40334
18.4142,7.41438
18.4545,7.42543
18.4948,7.43643
18.5351,7.44742
18.5754,7.45836
18.6157,7.4693
18.6561,7.48019
18.6964,7.49107
18.7367,7.50191
18.777,7.51274
18.8174,7.52352
18.8577,7.5343
18.8981,7.54502
18.9384,7.55574
18.9788,7.56641
19.0192,7.57708
19.0595,7.5877
19.0999,7.59832
19.1403,7.60888
19.1807,7.61944
19.2211,7.62995
19.2615,7.64045
19.3019,7.65091
19.3423,7.66136
19.3827,7.67176
19.4232,7.68215
19.4636,7.6925
19.504,7.70284
19.5445,7.71313
19.5849,7.72342
19.6254,7.73365
19.6658,7.74389
19.7063,7.75407
19.7468,7.76424
19.7873,7.77437
19.8277,7.78449
19.8682,7.79456
19.9087,7.80463
19.9492,7.81465
19.9897,7.82466
20.0302,7.83462
20.0708,7.84458
20.1113,7.85449
20.1518,7.86439
20.1923,7.87424
20.2329,7.88409
20.2734,7.89388
20.314,7.90368
20.3546,7.91342
20.3951,7.92316
20.4357,7.93284
20.4763,7.94253
20.5168,7.95215
20.5574,7.96178
20.598,7.97136
20.6386,7.98093
20.6792,7.99045
20.7199,7.99997
20.7605,8.00943
20.8011,8.01889
20.8417,8.0283
20.8824,8.03771
20.923,8.04706
20.9637,8.05641
21.0043,8.06571
21.045,8.075
21.0857,8.08425
21.1263,8.09349
21.167,8.10267
21.2077,8.11186
21.2484,8.12099
21.2891,8.13012
21.3298,8.13919
21.3705,8.14826
21.4112,8.15728
21.4519,8.1663
21.4927,8.17526
21.5334,8.18423
21.5742,8.19313
21.6149,8.20204
21.6557,8.21089
21.6964,8.21974
21.7372,8.22854
21.778,8.23734
21.8188,8.24608
21.8595,8.25482
21.9003,8.2635
21.9411,8.27218
21.9819,8.28081
22.0228,8.28944
22.0636,8.29801
22.1044,8.30658
22.1452,8.3151
22.1861,8.32362
22.2269,8.33208
22.2678,8.34054
22.3086,8.34894
22.3495,8.35735
22.3904,8.3657
22.4312,8.37404
22.4721,8.38234
22.513,8.39063
22.5539,8.39887
22.5948,8.4071
22.6357,8.41528
22.6766,8.42346
22.7176,8.43159
22.7585,8.43971
22.7994,8.44778
22.8404,8.45585
22.8813,8.46386
22.9223,8.47188
22.9632,8.47983
23.0042,8.48779
23.0452,8.49569
23.0862,8.50359
23.1272,8.51144
23.1682,8.51928
23.2092,8.52707
23.2502,8.53486
23.2912,8.54259
23.3322,8.55032
23.3732,8.558
23.4143,8.56568
23.4553,8.5733
23.4964,8.58092
23.5374,8.58848
23.5785,8.59605
23.6196,8.60356
23.6606,8.61107
23.7017,8.61852
23.7428,8.62597
23.7839,8.63337
23.825,8.64076
23.8661,8.6481
23.9072,8.65544
23.9484,8.66273
23.9895,8.67001
24.0306,8.67724
24.0718,8.68447
24.1129,8.69164
24.1541,8.69881
24.1953,8.70593
24.2364,8.71305
24.2776,8.72011
24.3188,8.72717
24.36,8.73417
24.4012,8.74117
24.4424,8.74812
24.4836,8.75507
24.5248,8.76196
24.5661,8.76886
24.6073,8.77569
24.6486,8.78253
24.6898,8.78931
24.7311,8.79609
24.7723,8.80281
24.8136,8.80954
24.8549,8.81621
24.8962,8.82287
24.9375,8.82949
24.9788,8.8361
25.0201,8.84266
25.0614,8.84921
25.1027,8.85571
25.144,8.86221
25.1854,8.86866
25.2267,8.8751
25.2681,8.88149
25.3094,8.88788
25.3508,8.89422
25.3921,8.90055
25.4335,8.90683
25.4749,8.9131
25.5163,8.91932
25.5577,8.92555
25.5991,8.93171
25.6405,8.93788
25.682,8.94399
25.7234,8.9501
25.7648,8.95615
25.8063,8.96221
25.8477,8.96821
25.8892,8.9742
25.9306,8.98015
25.9721,8.98609
26.0136,8.99198
26.0551,8.99787
26.0966,9.0037
26.1381,9.00953
26.1796,9.01531
26.2211,9.02108
26.2626,9.0268
26.3042,9.03252
26.3457,9.03819
26.3873,9.04385
26.4288,9.04946
26.4704,9.05507
26.512,9.06063
26.5535,9.06618
26.5951,9.07168
26.6367,9.07718
26.6783,9.08262
26.7199,9.08807
26.7615,9.09345
26.8032,9.09884
26.8448,9.10418
26.8864,9.10951
26.9281,9.11479
26.9697,9.12006
27.0114,9.12529
27.0531,9.13051
27.0947,9.13567
27.1364,9.14084
27.1781,9.14595
27.2198,9.15107
27.2615,9.15612
27.3032,9.16118
27.345,9.16618
27.3867,9.17118
27.4284,9.17613
27.4702,9.18108
27.5119,9.18597
27.5537,9.19086
27.5955,9.1957
27.6372,9.20053
27.679,9.20531
27.7208,9.2101
27.7626,9.21482
27.8044,9.21955
27.8462,9.22422
27.888,9.22889
27.9299,9.23351
27.9717,9.23813
28.0136,9.24269
28.0554,9.24725
28.0973,9.25176
28.1391,9.25627
28.181,9.26072
28.2229,9.26518
28.2648,9.26957
28.3067,9.27397
28.3486,9.27832
28.3905,9.28266
28.4325,9.28695
28.4744,9.29124
28.5163,9.29547
28.5583,9.29971
28.6002,9.30389
28.6422,9.30807
28.6842,9.3122
28.7262,9.31632
28.7681,9.3204
28.8101,9.32447
28.8521,9.32849
28.8942,9.3325
28.9362,9.33647
28.9782,9.34043
29.0202,9.34434
29.0623,9.34825
29.1043,9.35211
29.1464,9.35596
29.1885,9.35976
29.2305,9.36356
29.2726,9.36731
29.3147,9.37106
29.3568,9.37475
29.3989,9.37845
29.4411,9.38209
29.4832,9.38573
29.5253,9.38931
29.5675,9.3929
29.6096,9.39643
29.6518,9.39996
29.6939,9.40344
29.7361,9.40692
29.7783,9.41034
29.8205,9.41377
29.8627,9.41714
29.9049,9.42051
29.9471,9.42383
29.9893,9.42715
30.0316,9.43041
30.0738,9.43368
30.1161,9.43689
30.1583,9.4401
30.2006,9.44326
30.2428,9.44641
30.2851,9.44952
30.3274,9.45262
30.3697,9.45567
30.412,9.45872
30.4543,9.46172
30.4967,9.46472
30.539,9.46767
30.5813,9.47061
30.6237,9.4735
30.666,9.4764
30.7084,9.47923
30.7508,9.48207
30.7932,9.48486
30.8355,9.48765
30.878,9.49038
30.9204,9.49311
30.9628,9.4958
31.0052,9.49848
31.0476,9.5011
31.0901,9.50373
31.1325,9.50631
31.175,9.50888
31.2174,9.51141
31.2599,9.51393
31.3024,9.5164
31.3449,9.51887
31.3874,9.52129
31.4299,9.52371
31.4724,9.52607
31.5149,9.52844
31.5575,9.53075
31.6,9.53307
31.6426,9.53533
31.6851,9.53759
31.7277,9.5398
31.7703,9.54201
31.8129,9.54417
31.8555,9.54633
31.8981,9.54843
31.9407,9.55054
31.9833,9.55259
32.0259,9.55464
32.0686,9.55665
32.1112,9.55865
32.1539,9.5606
32.1965,9.56255
32.2392,9.56445
32.2819,9.56635
32.3246,9.56819
32.3673,9.57004
32.41,9.57184
32.4527,9.57363
32.4954,9.57538
32.5382,9.57712
32.5809,9.57881
32.6237,9.58051
32.6664,9.58215
32.7092,9.58379
32.752,9.58538
32.7948,9.58697
32.8376,9.58851
32.8804,9.59005
32.9232,9.59154
32.966,9.59303
33.0088,9.59446
33.0517,9.5959
33.0945,9.59729
33.1374,9.59867
33.1802,9.60001
33.2231,9.60135
33.266,9.60263
33.3089,9.60392
33.3518,9.60515
33.3947,9.60638
33.4376,9.60757
33.4805,9.60875
33.5235,9.60989
33.5664,9.61102
33.6094,9.6121
33.6523,9.61318
33.6953,9.61422
33.7383,9.61525
33.7813,9.61623
33.8243,9.61722
33.8673,9.61815
33.9103,9.61908
33.9533,9.61996
33.9964,9.62084
34.0394,9.62168
34.0825,9.62251
34.1255,9.62329
34.1686,9.62407
34.2117,9.62481
34.2548,9.62554
34.2979,9.62622
34.341,9.62691
34.3841,9.62754
34.4272,9.62817
34.4704,9.62876
34.5135,9.62934
34.5567,9.62988
34.5998,9.63041
34.643,9.63089
34.6862,9.63138
34.7294,9.63182
34.7726,9.63225
34.8158,9.63264
34.859,9.63302
34.9022,9.63336
34.9454,9.6337
34.9887,9.63399
35.0319,9.63428
35.0752,9.63452
35.1185,9.63476
35.1618,9.63495
35.205,9.63514
35.2483,9.63528
35.2916,9.63542
35.335,9.63551
35.3783,9.63561
35.4216,9.63565
35.465,9.6357
35.5083,9.63569
35.5517,9.63569
35.5951,9.63564
35.6384,9.63558
35.6818,9.63548
35.7252,9.63538
35.7687,9.63523
35.8121,9.63509
35.8555,9.63489
35.8989,9.63469
35.9424,9.63445
35.9858,9.6342
36.0293,9.63391
36.0728,9.63362
36.1163,9.63328
36.1598,9.63294
36.2033,9.63255
36.2468,9.63216
36.2903,9.63172
36.3338,9.63129
36.3774,9.6308
36.4209,9.63032
36.4645,9.62979
36.5081,9.62926
36.5516,9.62868
36.5952,9.6281
36.6388,9.62747
36.6824,9.62685
36.726,9.62617
36.7697,9.6255
36.8133,9.62478
36.8569,9.62406
36.9006,9.62329
36.9443,9.62253
36.9879,9.62171
37.0316,9.6209
37.0753,9.62004
37.119,9.61918
37.1627,9.61827
37.2064,9.61736
37.2502,9.61641
37.2939,9.61545
37.3377,9.61445
37.3814,9.61345
37.4252,9.6124
37.469,9.61135
37.5128,9.61026
37.5565,9.60917
37.6004,9.60803
37.6442,9.60689
37.688,9.6057
37.7318,9.60451
37.7757,9.60328
37.8195,9.60205
37.8634,9.60077
37.9073,9.59949
37.9512,9.59817
37.995,9.59685
38.0389,9.59548
38.0829,9.59411
38.1268,9.59269
38.1707,9.59127
38.2147,9.58981
38.2586,9.58835
38.3026,9.58684
38.3465,9.58534
38.3905,9.58379
38.4345,9.58223
38.4785,9.58064
38.5225,9.57904
38.5665,9.5774
38.6105,9.57575
38.6546,9.57407
38.6986,9.57238
38.7427,9.57065
38.7868,9.56891
38.8308,9.56713
38.8749,9.56536
38.919,9.56353
38.9631,9.56171
39.0072,9.55984
39.0514,9.55798
39.0955,9.55607
39.1396,9.55415
39.1838,9.5522
39.2279,9.55024
39.2721,9.54824
39.3163,9.54624
39.3605,9.54419
39.4047,9.54215
39.4489,9.54006
39.4931,9.53797
39.5374,9.53584
39.5816,9.5337
39.6259,9.53152
39.6701,9.52935
39.7144,9.52713
39.7587,9.5249
39.803,9.52264
39.8473,9.52037
39.8916,9.51806
39.9359,9.51576
39.9802,9.5134
40.0246,9.51105
40.0689,9.50865
40.1133,9.50626
40.1576,9.50382
40.202,9.50138
40.2464,9.49889
40.2908,9.49641
40.3352,9.49389
40.3796,9.49136
40.4241,9.48879
40.4685,9.48622
40.513,9.48361
40.5574,9.48099
40.6019,9.47834
40.6464,9.47568
40.6909,9.47299
40.7353,9.47029
40.7799,9.46755
40.8244,9.46481
