E,dE/dx (elec),dE/dx (nuc),dE/dx (tot)
1,9.63E+01,8.02E-02,9.64E+01
1.1,9.17E+01,7.41E-02,9.18E+01
1.2,8.71E+01,6.90E-02,8.72E+01
1.3,8.33E+01,6.45E-02,8.34E+01
1.4,7.99E+01,6.07E-02,8.00E+01
1.5,7.69E+01,5.73E-02,7.70E+01
1.6,7.41E+01,5.42E-02,7.42E+01
1.7,7.16E+01,5.16E-02,7.17E+01
1.8,6.92E+01,4.91E-02,6.92E+01
2,6.51E+01,4.50E-02,6.51E+01
2.25,6.06E+01,4.07E-02,6.06E+01
2.5,5.68E+01,3.72E-02,5.68E+01
2.75,5.36E+01,3.43E-02,5.36E+01
3,5.07E+01,3.19E-02,5.07E+01
3.25,4.82E+01,2.98E-02,4.82E+01
3.5,4.59E+01,2.79E-02,4.59E+01
3.75,4.39E+01,2.63E-02,4.39E+01
4,4.21E+01,2.49E-02,4.21E+01
4.5,3.89E+01,2.25E-02,3.89E+01
5,3.63E+01,2.05E-02,3.63E+01
5.5,3.40E+01,1.89E-02,3.40E+01
6,3.20E+01,1.75E-02,3.20E+01
6.5,3.03E+01,1.64E-02,3.03E+01
7,2.87E+01,1.53E-02,2.87E+01
8,2.62E+01,1.37E-02,2.62E+01
9,2.41E+01,1.23E-02,2.41E+01
10,2.23E+01,1.12E-02,2.23E+01
11,2.08E+01,1.03E-02,2.08E+01
12,1.95E+01,9.58E-03,1.95E+01
13,1.84E+01,8.92E-03,1.84E+01
14,1.74E+01,8.36E-03,1.74E+01
15,1.66E+01,7.87E-03,1.66E+01
16,1.58E+01,7.43E-03,1.58E+01
17,1.51E+01,7.04E-03,1.51E+01
18,1.45E+01,6.70E-03,1.45E+01
20,1.34E+01,6.10E-03,1.34E+01
22.5,1.22E+01,5.50E-03,1.22E+01
25,1.13E+01,5.00E-03,1.13E+01
27.5,1.05E+01,4.60E-03,1.05E+01
30,9.85E+00,4.25E-03,9.85E+00
32.5,9.28E+00,3.96E-03,9.28E+00
35,8.77E+00,3.71E-03,8.77E+00
37.5,8.32E+00,3.49E-03,8.32E+00
40,7.93E+00,3.29E-03,7.93E+00
45,7.25E+00,2.96E-03,7.25E+00
50,6.70E+00,2.69E-03,6.70E+00
55,6.24E+00,2.47E-03,6.24E+00
60,5.85E+00,2.29E-03,5.85E+00
65,5.51E+00,2.13E-03,5.51E+00
70,5.22E+00,1.99E-03,5.22E+00
80,4.73E+00,1.77E-03,4.73E+00
90,4.34E+00,1.59E-03,4.34E+00
100,4.03E+00,1.44E-03,4.03E+00
110,3.76E+00,1.32E-03,3.76E+00
120,3.54E+00,1.22E-03,3.54E+00
130,3.35E+00,1.14E-03,3.35E+00
140,3.19E+00,1.06E-03,3.19E+00
150,3.04E+00,9.99E-04,3.04E+00
160,2.92E+00,9.43E-04,2.92E+00
170,2.80E+00,8.92E-04,2.80E+00
180,2.70E+00,8.47E-04,2.70E+00
200,2.53E+00,7.69E-04,2.53E+00
225,2.35E+00,6.91E-04,2.35E+00
250,2.21E+00,6.28E-04,2.21E+00
275,2.09E+00,5.76E-04,2.09E+00
300,2.00E+00,5.32E-04,2.00E+00
325,1.91E+00,4.94E-04,1.91E+00
350,1.84E+00,4.62E-04,1.84E+00
375,1.78E+00,4.34E-04,1.78E+00
400,1.73E+00,4.09E-04,1.73E+00
450,1.64E+00,3.67E-04,1.64E+00
500,1.57E+00,3.33E-04,1.57E+00
550,1.51E+00,3.05E-04,1.51E+00
600,1.46E+00,2.82E-04,1.46E+00
650,1.42E+00,2.62E-04,1.42E+00
700,1.39E+00,2.45E-04,1.39E+00
800,1.34E+00,2.16E-04,1.34E+00
900,1.30E+00,1.94E-04,1.30E+00